Sequence,A or a,E or e,I or i,O or o,U or u,Consonants
UJuyMECi,0,1,1,0,2,4
Gbtsfu,0,0,0,0,1,5
BVzyvQsZ,0,0,0,0,0,8
BraRSgQoJ,1,0,0,1,0,7
vploJR,0,0,0,1,0,5
LXSevYFx,0,1,0,0,0,7
BbtcHoPGe,0,1,0,1,0,7
TnJahit,1,0,1,0,0,5
PdbVaHZk,1,0,0,0,0,7
TgMOYK,0,0,0,1,0,5
WauFHNz,1,0,0,0,1,5
WUEnpky,0,1,0,0,1,5
wMJFEz,0,1,0,0,0,5
NwTvCx,0,0,0,0,0,6
KAUDgC,1,0,0,0,1,4
IdBiLptxG,0,0,2,0,0,7
zLXkjy,0,0,0,0,0,6
JGfSNy,0,0,0,0,0,6
LegfqC,0,1,0,0,0,5
PlAMYNEbri,1,1,1,0,0,7
LzCAqXTJj,1,0,0,0,0,8
dzSWbpieyN,0,1,1,0,0,8
Kfwhsmc,0,0,0,0,0,7
ZoFyue,0,1,0,1,1,3
XrwMGUnS,0,0,0,0,1,7
yYhtEaA,2,1,0,0,0,4
xlSuhyR,0,0,0,0,1,6
lFYEMnH,0,1,0,0,0,6
lmgLBC,0,0,0,0,0,6
KqYbpxrf,0,0,0,0,0,8
cNUsLfrk,0,0,0,0,1,7
lhRtCBT,0,0,0,0,0,7
UJiojAqf,1,0,1,1,1,4
OepXYL,0,1,0,1,0,4
mCxjtN,0,0,0,0,0,6
SyXkPhnJ,0,0,0,0,0,8
TYmtpgHKzA,1,0,0,0,0,9
tJbXPq,0,0,0,0,0,6
uMXWCxHNV,0,0,0,0,1,8
QyTiws,0,0,1,0,0,5
mWtliO,0,0,1,1,0,4
ilPqJBk,0,0,1,0,0,6
tIcMxmSCOQ,0,0,1,1,0,8
bGEsOxhuY,0,1,0,1,1,6
QDigNzIf,0,0,2,0,0,6
rIZOjV,0,0,1,1,0,4
JvHNBQg,0,0,0,0,0,7
gpmMcR,0,0,0,0,0,6
bfdmETqAU,1,1,0,0,1,6
WREqJrz,0,1,0,0,0,6
wSpkmjP,0,0,0,0,0,7
pbzLahvH,1,0,0,0,0,7
ituQTZ,0,0,1,0,1,4
vKQBmJ,0,0,0,0,0,6
iElhvCGef,0,2,1,0,0,6
nhkvYd,0,0,0,0,0,6
Nhsapf,1,0,0,0,0,5
UONRDmc,0,0,0,1,1,5
AExYbp,1,1,0,0,0,4
GXlLIxdPRz,0,0,1,0,0,9
HPTFzbBS,0,0,0,0,0,8
iDUvOH,0,0,1,1,1,3
yCvAZbzd,1,0,0,0,0,7
zDnmyil,0,0,1,0,0,6
OQYxcF,0,0,0,1,0,5
xFgAiRGQ,1,0,1,0,0,6
JYISXwG,0,0,1,0,0,6
FlZhJe,0,1,0,0,0,5
jweMBY,0,1,0,0,0,5
yFAZIcXgu,1,0,1,0,1,6
rykZlDsA,1,0,0,0,0,7
tbAwuL,1,0,0,0,1,4
YiEeup,0,2,1,0,1,2
LmKNEvMqy,0,1,0,0,0,8
kKwTODeXun,0,1,0,1,1,7
tbgXZd,0,0,0,0,0,6
zqVIJw,0,0,1,0,0,5
PxhMUc,0,0,0,0,1,5
exmOGq,0,1,0,1,0,4
qmrUpPDl,0,0,0,0,1,7
kDKapt,1,0,0,0,0,5
EfQqSP,0,1,0,0,0,5
lysnSqB,0,0,0,0,0,7
HqpoetL,0,1,0,1,0,5
Lgcqku,0,0,0,0,1,5
QbRrzFkdOu,0,0,0,1,1,8
VJamDY,1,0,0,0,0,5
FQhqUSrt,0,0,0,0,1,7
oygEwGf,0,1,0,1,0,5
tTSHdu,0,0,0,0,1,5
PUMabjEuO,1,1,0,1,2,4
xkWBYCbFO,0,0,0,1,0,8
KfEtZV,0,1,0,0,0,5
hrQaiB,1,0,1,0,0,4
yDTjvu,0,0,0,0,1,5
SdEqMzI,0,1,1,0,0,5
AUtxliKW,1,0,1,0,1,5
uUOHRXq,0,0,0,1,2,4
EGQXMWx,0,1,0,0,0,6
dGAgBa,2,0,0,0,0,4
iyRYfe,0,1,1,0,0,4
zcKvZX,0,0,0,0,0,6
uyNchXI,0,0,1,0,1,5
DQLviedGf,0,1,1,0,0,7
bfjahF,1,0,0,0,0,5
acbFMh,1,0,0,0,0,5
XIHslFLf,0,0,1,0,0,7
UgdGJV,0,0,0,0,1,5
RGcNCAPbq,1,0,0,0,0,8
JtSRMB,0,0,0,0,0,6
dDSOLf,0,0,0,1,0,5
JjUVBYgtN,0,0,0,0,1,8
dSNcHmBPR,0,0,0,0,0,9
wIQsgbn,0,0,1,0,0,6
uGkJwaV,1,0,0,0,1,5
FWTVckbe,0,1,0,0,0,7
HgYKqo,0,0,0,1,0,5
XOPAWgBbj,1,0,0,1,0,7
IqmKvEyGQ,0,1,1,0,0,7
jzFfMrav,1,0,0,0,0,7
bLuYEe,0,2,0,0,1,3
dMLqvU,0,0,0,0,1,5
iUkylgE,0,1,1,0,1,4
fDArdVEU,1,1,0,0,1,5
sjIVCMF,0,0,1,0,0,6
vPAYfGqT,1,0,0,0,0,7
eLtjpTYOEQ,0,2,0,1,0,7
qyVcNX,0,0,0,0,0,6
UnHEvq,0,1,0,0,1,4
YVqnHh,0,0,0,0,0,6
iLsPOZx,0,0,1,1,0,5
hmdHftqrU,0,0,0,0,1,8
zBGiZCca,1,0,1,0,0,6
NyZuKbBs,0,0,0,0,1,7
IjbKml,0,0,1,0,0,5
CthyBxSpfj,0,0,0,0,0,10
stMmOkh,0,0,0,1,0,6
IZfszkU,0,0,1,0,1,5
EelQCbWp,0,2,0,0,0,6
fasCbO,1,0,0,1,0,4
oxwjXMZiO,0,0,1,2,0,6
GWnfDN,0,0,0,0,0,6
SDJmqN,0,0,0,0,0,6
UYivPGK,0,0,1,0,1,5
WTDdyKmYJ,0,0,0,0,0,9
VMhREOLXj,0,1,0,1,0,7
OTIycC,0,0,1,1,0,4
SUCVJOrK,0,0,0,1,1,6
wHCjIN,0,0,1,0,0,5
BivfQRGYF,0,0,1,0,0,8
FEIyeCGol,0,2,1,1,0,5
ngPrtbufcJ,0,0,0,0,1,9
eUpjknt,0,1,0,0,1,5
KzsgdoPMQ,0,0,0,1,0,8
pAbWnmsjk,1,0,0,0,0,8
LMbzlTH,0,0,0,0,0,7
THFrlMJ,0,0,0,0,0,7
QeykJAx,1,1,0,0,0,5
xJWaAjC,2,0,0,0,0,5
uaqmzGreU,1,1,0,0,2,5
JYfWPsEBip,0,1,1,0,0,8
ZnTVavJi,1,0,1,0,0,6
SIFayD,1,0,1,0,0,4
tavoCOWBew,1,1,0,2,0,6
zuLFbtE,0,1,0,0,1,5
eXfmYWF,0,1,0,0,0,6
aUOJTu,1,0,0,1,2,2
iAJCsE,1,1,1,0,0,3
DAQOwvN,1,0,0,1,0,5
RUQqMrmlHd,0,0,0,0,1,9
IcbDzU,0,0,1,0,1,4
jBJSvA,1,0,0,0,0,5
pTDvBYEKCW,0,1,0,0,0,9
gDCJdP,0,0,0,0,0,6
QkDcmUuvH,0,0,0,0,2,7
DiFtaVObE,1,1,1,1,0,5
wbaytXE,1,1,0,0,0,5
NpcOWf,0,0,0,1,0,5
LkMPjsfg,0,0,0,0,0,8
GTdmwc,0,0,0,0,0,6
lUoJOcDwBM,0,0,0,2,1,7
FZXGzDOCT,0,0,0,1,0,8
JUTvLNC,0,0,0,0,1,6
ZTPbQpXM,0,0,0,0,0,8
rgvhIm,0,0,1,0,0,5
gHOUhj,0,0,0,1,1,4
ckWjidxh,0,0,1,0,0,7
HuCMIpKS,0,0,1,0,1,6
tkLHInY,0,0,1,0,0,6
MeyrsUEm,0,2,0,0,1,5
HVqsJaP,1,0,0,0,0,6
IsbfQEL,0,1,1,0,0,5
gEvQJxHO,0,1,0,1,0,6
RpESwB,0,1,0,0,0,5
stKwJWGHkr,0,0,0,0,0,10
JjRbvHk,0,0,0,0,0,7
GcLIkzX,0,0,1,0,0,6
NbGLwhtY,0,0,0,0,0,8
TVFHiNqRQ,0,0,1,0,0,8
hzKyxf,0,0,0,0,0,6
MVnjAS,1,0,0,0,0,5
lcAUeJTIPg,1,1,1,0,1,6
CenrlFQV,0,1,0,0,0,7
WkYiwsG,0,0,1,0,0,6
noBEJyd,0,1,0,1,0,5
KxcqVTuB,0,0,0,0,1,7
ghwiAlyNU,1,0,1,0,1,6
pTscMF,0,0,0,0,0,6
NIulzb,0,0,1,0,1,4
WCtriOYABy,1,0,1,1,0,7
MFaronRLI,1,0,1,1,0,6
XxUWPkIsu,0,0,1,0,2,6
pJPwfUz,0,0,0,0,1,6
eXiQBfqg,0,1,1,0,0,6
uaoAFJIE,2,1,1,1,1,2
jOtMRky,0,0,0,1,0,6
rXSJVl,0,0,0,0,0,6
iaSJZmhuV,1,0,1,0,1,6
bzMWXJCqpY,0,0,0,0,0,10
qRhWgC,0,0,0,0,0,6
gZONnQyq,0,0,0,1,0,7
AHDZnFp,1,0,0,0,0,6
dQZnfFWIa,1,0,1,0,0,7
gkrRGqJF,0,0,0,0,0,8
cozIMr,0,0,1,1,0,4
uWTBDgln,0,0,0,0,1,7
MftxbR,0,0,0,0,0,6
NqLEvpF,0,1,0,0,0,6
eBiUSgP,0,1,1,0,1,4
PqkbfXt,0,0,0,0,0,7
plNJAmed,1,1,0,0,0,6
aEeFmwDY,1,2,0,0,0,5
mjRqoSa,1,0,0,1,0,5
LoZUPN,0,0,0,1,1,4
WhobNaI,1,0,1,1,0,4
cGpTXE,0,1,0,0,0,5
CNILrEbung,0,1,1,0,1,7
PXUZDV,0,0,0,0,1,5
yYcvgkqU,0,0,0,0,1,7
LMdViFUxmz,0,0,1,0,1,8
laiZcAdM,2,0,1,0,0,5
IoXFNqi,0,0,2,1,0,4
xcJzoer,0,1,0,1,0,5
JYpZiTF,0,0,1,0,0,6
xCLUEIP,0,1,1,0,1,4
gqvCEfTbH,0,1,0,0,0,8
TqihZIJyb,0,0,2,0,0,7
qPdAtOHWMm,1,0,0,1,0,8
XJjrnD,0,0,0,0,0,6
zdJQBUHm,0,0,0,0,1,7
zSsXuxBq,0,0,0,0,1,7
zqSyklLd,0,0,0,0,0,8
CshumoZD,0,0,0,1,1,6
OxnYKpRX,0,0,0,1,0,7
FMBXGgVP,0,0,0,0,0,8
ZYglGz,0,0,0,0,0,6
AaZiyc,2,0,1,0,0,3
mQgWoR,0,0,0,1,0,5
GiNFsYr,0,0,1,0,0,6
iStonA,1,0,1,1,0,3
CfWGRuw,0,0,0,0,1,6
CUnQedby,0,1,0,0,1,6
QZDEcR,0,1,0,0,0,5
AgmIZsTl,1,0,1,0,0,6
dHwztXUAp,1,0,0,0,1,7
LhcaXDYd,1,0,0,0,0,7
ewHlmKkA,1,1,0,0,0,6
ExymPr,0,1,0,0,0,5
zWHPugO,0,0,0,1,1,5
ytEzlsYp,0,1,0,0,0,7
GxLypP,0,0,0,0,0,6
MceQrm,0,1,0,0,0,5
KYcHIMDT,0,0,1,0,0,7
MHNJgdXf,0,0,0,0,0,8
HcXWxRey,0,1,0,0,0,7
QPwOTWBpGh,0,0,0,1,0,9
uPNmIxf,0,0,1,0,1,5
NGTWUb,0,0,0,0,1,5
sJnOzkLp,0,0,0,1,0,7
GcqIRwn,0,0,1,0,0,6
hvxZHLVwT,0,0,0,0,0,9
VmvfkUZRda,1,0,0,0,1,8
viFANEMY,1,1,1,0,0,5
SylPOhdHV,0,0,0,1,0,8
ZcJEVdq,0,1,0,0,0,6
HRqfrmndje,0,1,0,0,0,9
hHaJvY,1,0,0,0,0,5
VGWxLf,0,0,0,0,0,6
ZzedxDo,0,1,0,1,0,5
pdeXgfC,0,1,0,0,0,6
meJACop,1,1,0,1,0,4
OfFYwocyk,0,0,0,2,0,7
mMRsTScL,0,0,0,0,0,8
HBKYZpIJ,0,0,1,0,0,7
xsUQERdg,0,1,0,0,1,6
xfPELrq,0,1,0,0,0,6
NTvzmc,0,0,0,0,0,6
kIxOLciGaU,1,0,2,1,1,5
pUEKca,1,1,0,0,1,3
QfgWystzFh,0,0,0,0,0,10
pZIxhV,0,0,1,0,0,5
oWixqmzKtS,0,0,1,1,0,8
VhHmfN,0,0,0,0,0,6
ghNMVGzOF,0,0,0,1,0,8
dKEQbzJ,0,1,0,0,0,6
AigYhdZco,1,0,1,1,0,6
gHaBWsCRGO,1,0,0,1,0,8
bFuRYLtiT,0,0,1,0,1,7
fAvtJrIQe,1,1,1,0,0,6
dbSIBlA,1,0,1,0,0,5
PuJiLd,0,0,1,0,1,4
ySXkDU,0,0,0,0,1,5
LewZacG,1,1,0,0,0,5
SZRoxN,0,0,0,1,0,5
FMZfnjx,0,0,0,0,0,7
PEWCfxdU,0,1,0,0,1,6
TyWjcvu,0,0,0,0,1,6
MZBEzWnfDF,0,1,0,0,0,9
UVgewaDd,1,1,0,0,1,5
xZplBV,0,0,0,0,0,6
fRGEvULTlD,0,1,0,0,1,8
XPSjQpy,0,0,0,0,0,7
MYknOH,0,0,0,1,0,5
dSEHIimFl,0,1,2,0,0,6
bfxEst,0,1,0,0,0,5
lPEpLisn,0,1,1,0,0,6
ngXRAUpm,1,0,0,0,1,6
DqATcrV,1,0,0,0,0,6
LpCZXUhH,0,0,0,0,1,7
sIdVrZSR,0,0,1,0,0,7
xrHpBbiv,0,0,1,0,0,7
fxLXzKbR,0,0,0,0,0,8
hrcdPfSHx,0,0,0,0,0,9
XZUswgRJP,0,0,0,0,1,8
uBYyhO,0,0,0,1,1,4
ECceaiQL,1,2,1,0,0,4
PoesfJFrl,0,1,0,1,0,7
YcrVPF,0,0,0,0,0,6
efLUpoGbJ,0,1,0,1,1,6
vEzRuOT,0,1,0,1,1,4
erYucRaQd,1,1,0,0,1,6
ObrlixQWez,0,1,1,1,0,7
HngqDUZo,0,0,0,1,1,6
XbMYHocJaA,2,0,0,1,0,7
idvKjnQIH,0,0,2,0,0,7
xzHsPr,0,0,0,0,0,6
tRbIphU,0,0,1,0,1,5
nRmNbIurQi,0,0,2,0,1,7
JaDAEphKQ,2,1,0,0,0,6
qDgJjB,0,0,0,0,0,6
gyCtarGbM,1,0,0,0,0,8
tfHFcP,0,0,0,0,0,6
trfIaGZ,1,0,1,0,0,5
bXgFQlj,0,0,0,0,0,7
yvSKrEzFC,0,1,0,0,0,8
JSxwWhBa,1,0,0,0,0,7
wzNFtvsASx,1,0,0,0,0,9
pGHdnLXws,0,0,0,0,0,9
CYyVIf,0,0,1,0,0,5
oKLrbXlDJ,0,0,0,1,0,8
brKqnG,0,0,0,0,0,6
ezoKqQRCD,0,1,0,1,0,7
IMXZQxg,0,0,1,0,0,6
AxnPwHkB,1,0,0,0,0,7
FXqWaAL,2,0,0,0,0,5
iYKtMHBDZu,0,0,1,0,1,8
lyHZeGSnB,0,1,0,0,0,8
tqDoChBr,0,0,0,1,0,7
COWDkf,0,0,0,1,0,5
LsBAqJR,1,0,0,0,0,6
lcAJQtu,1,0,0,0,1,5
lnvPXN,0,0,0,0,0,6
eEflYFi,0,2,1,0,0,4
BGpEwiR,0,1,1,0,0,5
afVriRJ,1,0,1,0,0,5
rqEZNTMx,0,1,0,0,0,7
qEFbfkynO,0,1,0,1,0,7
DigeRBS,0,1,1,0,0,5
PShovHfl,0,0,0,1,0,7
zFHPAar,2,0,0,0,0,5
qsyXKACL,1,0,0,0,0,7
zBTfPh,0,0,0,0,0,6
ianmXTzL,1,0,1,0,0,6
SvFLsBeAr,1,1,0,0,0,7
aUFRlDo,1,0,0,1,1,4
ouXTIqW,0,0,1,1,1,4
tSXPnIf,0,0,1,0,0,6
eiTEVN,0,2,1,0,0,3
UgtkmywpI,0,0,1,0,1,7
rchTHde,0,1,0,0,0,6
KbhsBtEPe,0,2,0,0,0,7
hUIdcCD,0,0,1,0,1,5
WfNVuUvl,0,0,0,0,2,6
TjnchsQiA,1,0,1,0,0,7
yZeMwjxq,0,1,0,0,0,7
pEVAwK,1,1,0,0,0,4
XvHutyUNS,0,0,0,0,2,7
NKaMmdSxGC,1,0,0,0,0,9
KqxSONstB,0,0,0,1,0,8
ubyOsTpqg,0,0,0,1,1,7
IyRNHeu,0,1,1,0,1,4
YkZlIceKor,0,1,1,1,0,7
cDnOFprwk,0,0,0,1,0,8
fJVlePA,1,1,0,0,0,5
HzLEKwgT,0,1,0,0,0,7
dvfjHCFGk,0,0,0,0,0,9
NDRwcVT,0,0,0,0,0,7
NTKYOB,0,0,0,1,0,5
seEDBAZ,1,2,0,0,0,4
THajKYIqJ,1,0,1,0,0,7
EKIXwYJ,0,1,1,0,0,5
XxpPkv,0,0,0,0,0,6
ULOjnN,0,0,0,1,1,4
cnwtDF,0,0,0,0,0,6
VdWFeaqRK,1,1,0,0,0,7
HBjgQos,0,0,0,1,0,6
QHrCiXBgO,0,0,1,1,0,7
gNafMt,1,0,0,0,0,5
jsQkcSOKdb,0,0,0,1,0,9
dCtEwsy,0,1,0,0,0,6
QgRUFlvDn,0,0,0,0,1,8
cFxIQn,0,0,1,0,0,5
WBIACHR,1,0,1,0,0,5
PuiegNYOUD,0,1,1,1,2,5
GwiWPrL,0,0,1,0,0,6
mjfZbaLi,1,0,1,0,0,6
iPGSpuz,0,0,1,0,1,5
VLyhsd,0,0,0,0,0,6
dmjnKH,0,0,0,0,0,6
sgDkJSKWU,0,0,0,0,1,8
oeiFqd,0,1,1,1,0,3
UrSyNdBah,1,0,0,0,1,7
oMpZeFOIm,0,1,1,2,0,5
FbnQZOMIt,0,0,1,1,0,7
KMElGaCHLo,1,1,0,1,0,7
xRfWcEGp,0,1,0,0,0,7
FgGsXcvH,0,0,0,0,0,8
EDmpQjRT,0,1,0,0,0,7
vFZXaNr,1,0,0,0,0,6
lGSAjfsCLk,1,0,0,0,0,9
RirtTJwDp,0,0,1,0,0,8
LksaVqu,1,0,0,0,1,5
yoCeRtwpMk,0,1,0,1,0,8
ChYpAg,1,0,0,0,0,5
JYSFGuDHM,0,0,0,0,1,8
QcXTpui,0,0,1,0,1,5
RbtHAZV,1,0,0,0,0,6
jYQXKaMUJ,1,0,0,0,1,7
ClZLtv,0,0,0,0,0,6
sZVeupFx,0,1,0,0,1,6
UZsfObe,0,1,0,1,1,4
PEsALpYXeO,1,2,0,1,0,6
GZtPVxy,0,0,0,0,0,7
EixAns,1,1,1,0,0,3
xmMPlt,0,0,0,0,0,6
rKIMxG,0,0,1,0,0,5
RlgNQXr,0,0,0,0,0,7
TkvRtNKfn,0,0,0,0,0,9
dwUnuMms,0,0,0,0,2,6
itsfAPJ,1,0,1,0,0,5
YzRanIoc,1,0,1,1,0,5
GOxfdg,0,0,0,1,0,5
DQOHBIAh,1,0,1,1,0,5
uQmhUCp,0,0,0,0,2,5
cBCIba,1,0,1,0,0,4
nSuUCtw,0,0,0,0,2,5
fInSLhPw,0,0,1,0,0,7
YsrNfZlp,0,0,0,0,0,8
ioGZmX,0,0,1,1,0,4
NZMJzf,0,0,0,0,0,6
JELRPcl,0,1,0,0,0,6
oEIDbv,0,1,1,1,0,3
fhYvmqDdX,0,0,0,0,0,9
tuVfdK,0,0,0,0,1,5
iARTJoe,1,1,1,1,0,3
CxViQrS,0,0,1,0,0,6
YkMuCXfVI,0,0,1,0,1,7
YroQSpxc,0,0,0,1,0,7
BaPGdZqHng,1,0,0,0,0,9
UZnVGrf,0,0,0,0,1,6
RQmnzZTIN,0,0,1,0,0,8
vzhqAUW,1,0,0,0,1,5
MQXjBzoG,0,0,0,1,0,7
GvCwIJWtLO,0,0,1,1,0,8
pzqKYoAm,1,0,0,1,0,6
GSmhrRT,0,0,0,0,0,7
mHSpnXt,0,0,0,0,0,7
QfnqVi,0,0,1,0,0,5
QbEStf,0,1,0,0,0,5
KRtbPdgz,0,0,0,0,0,8
NiWCwVrI,0,0,2,0,0,6
UCphtzKw,0,0,0,0,1,7
pZnzut,0,0,0,0,1,5
eDPpmUf,0,1,0,0,1,5
kouWmSn,0,0,0,1,1,5
bVgnkv,0,0,0,0,0,6
iBnkWoPcd,0,0,1,1,0,7
wODtoK,0,0,0,2,0,4
WnCJfc,0,0,0,0,0,6
jSfGtIF,0,0,1,0,0,6
cDwuvmV,0,0,0,0,1,6
LcilxBMHO,0,0,1,1,0,7
LJpORIqv,0,0,1,1,0,6
Jtkjre,0,1,0,0,0,5
IGeyxuFp,0,1,1,0,1,5
BJxfAKPrR,1,0,0,0,0,8
XfsBgvh,0,0,0,0,0,7
JDdKaYMhEu,1,1,0,0,1,7
eFKZba,1,1,0,0,0,4
NLRxgWB,0,0,0,0,0,7
RvfByomXU,0,0,0,1,1,7
XUDjVzEOh,0,1,0,1,1,6
OuLQmDdk,0,0,0,1,1,6
eDMBJdoHz,0,1,0,1,0,7
RXySfrEG,0,1,0,0,0,7
JYQtDg,0,0,0,0,0,6
kvTErSR,0,1,0,0,0,6
KoeMsGQ,0,1,0,1,0,5
wModSticY,0,0,1,1,0,7
WAvcxi,1,0,1,0,0,4
SdGiro,0,0,1,1,0,4
DnyJubl,0,0,0,0,1,6
eLTnJjYb,0,1,0,0,0,7
qPyhGbDnk,0,0,0,0,0,9
IBVKGSA,1,0,1,0,0,5
wQdJOF,0,0,0,1,0,5
DlQqtcehLN,0,1,0,0,0,9
AfoUiZ,1,0,1,1,1,2
NHOEjxpUi,0,1,1,1,1,5
bYxhQd,0,0,0,0,0,6
qKYdtRs,0,0,0,0,0,7
BRHNUxL,0,0,0,0,1,6
CSLsTdj,0,0,0,0,0,7
uvYAjqEn,1,1,0,0,1,5
lIQBASWE,1,1,1,0,0,5
DKjwzUXeEd,0,2,0,0,1,7
HLNrVDwqUx,0,0,0,0,1,9
yqksSLghbw,0,0,0,0,0,10
dJWKbMo,0,0,0,1,0,6
HDOKqFLaMA,2,0,0,1,0,7
YaIsSdKbPZ,1,0,1,0,0,8
OPBuHAN,1,0,0,1,1,4
VpJMmt,0,0,0,0,0,6
sLYqezM,0,1,0,0,0,6
ZXsvxBWSla,1,0,0,0,0,9
HImwUy,0,0,1,0,1,4
lYsSGp,0,0,0,0,0,6
uacZoGlPSI,1,0,1,1,1,6
jQOrwLsdY,0,0,0,1,0,8
PKHodblq,0,0,0,1,0,7
BvIJqV,0,0,1,0,0,5
PWKHkGy,0,0,0,0,0,7
dqwBsYc,0,0,0,0,0,7
klfqNwzixQ,0,0,1,0,0,9
xAqLfGwJ,1,0,0,0,0,7
uaQxdyKLE,1,1,0,0,1,6
VFMxPTrm,0,0,0,0,0,8
GbURLuJq,0,0,0,0,2,6
wHyYGvQRb,0,0,0,0,0,9
fpiBFqa,1,0,1,0,0,5
jUwzDTiV,0,0,1,0,1,6
EAwOYcUP,1,1,0,1,1,4
OIyDsk,0,0,1,1,0,4
YbPslQaK,1,0,0,0,0,7
hLqwbSG,0,0,0,0,0,7
YChDjXiHI,0,0,2,0,0,7
LsdeBtl,0,1,0,0,0,6
PkhGRWudO,0,0,0,1,1,7
OrPxHG,0,0,0,1,0,5
MlBqeCDL,0,1,0,0,0,7
dtpEwnW,0,1,0,0,0,6
lVeRosZ,0,1,0,1,0,5
qiJDtdl,0,0,1,0,0,6
cILpzr,0,0,1,0,0,5
rPjVhQ,0,0,0,0,0,6
KlCAfs,1,0,0,0,0,5
gPBqeZ,0,1,0,0,0,5
reiCxlG,0,1,1,0,0,5
FBGnlEb,0,1,0,0,0,6
PdslxUF,0,0,0,0,1,6
HWNTIRJz,0,0,1,0,0,7
TYzjGumViM,0,0,1,0,1,8
CIwdRJK,0,0,1,0,0,6
WLOverq,0,1,0,1,0,5
aBJyYZP,1,0,0,0,0,6
riFKTg,0,0,1,0,0,5
FUZhAWuRI,1,0,1,0,2,5
GEKVlnAy,1,1,0,0,0,6
rYNmvI,0,0,1,0,0,5
cwVYoSO,0,0,0,2,0,5
guMTHwy,0,0,0,0,1,6
omYSUkgj,0,0,0,1,1,6
ymkRrZ,0,0,0,0,0,6
NGkqIKn,0,0,1,0,0,6
GhRFfKIp,0,0,1,0,0,7
XREWria,1,1,1,0,0,4
amRdxSf,1,0,0,0,0,6
OLAnRjsxha,2,0,0,1,0,7
gdDrNP,0,0,0,0,0,6
wMdROlc,0,0,0,1,0,6
bylSEgoFIM,0,1,1,1,0,7
HkoDiB,0,0,1,1,0,4
olQFPf,0,0,0,1,0,5
tqeSYkGUB,0,1,0,0,1,7
XrnSFtcYvK,0,0,0,0,0,10
tJomvinQ,0,0,1,1,0,6
PKIyLc,0,0,1,0,0,5
posFiKUDL,0,0,1,1,1,6
MYxzNQPh,0,0,0,0,0,8
RYFbISEMQ,0,1,1,0,0,7
bjoYraBg,1,0,0,1,0,6
vtUgsAbQ,1,0,0,0,1,6
pilznIuo,0,0,2,1,1,4
sgcbiz,0,0,1,0,0,5
EZyPXCDR,0,1,0,0,0,7
yWVpEIau,1,1,1,0,1,4
yftilFE,0,1,1,0,0,5
SdHgOsmRu,0,0,0,1,1,7
oicmlD,0,0,1,1,0,4
PRoFnAuaM,2,0,0,1,1,5
SNQqDY,0,0,0,0,0,6
liDWvtk,0,0,1,0,0,6
gAKJzQIf,1,0,1,0,0,6
ufnhXoac,1,0,0,1,1,5
HVsMrfAhtw,1,0,0,0,0,9
jmsVyGe,0,1,0,0,0,6
DeshPMSvp,0,1,0,0,0,8
akcGMCs,1,0,0,0,0,6
tDSzrXVI,0,0,1,0,0,7
xosnUZ,0,0,0,1,1,4
CiekmlWAb,1,1,1,0,0,6
tfFKvd,0,0,0,0,0,6
GgIKrk,0,0,1,0,0,5
opCsgABD,1,0,0,1,0,6
mwkGNn,0,0,0,0,0,6
BPhNfV,0,0,0,0,0,6
IWqzME,0,1,1,0,0,4
NyAujRGF,1,0,0,0,1,6
RinFhv,0,0,1,0,0,5
fjZoYmRlb,0,0,0,1,0,8
MSqYbRE,0,1,0,0,0,6
NHLlijd,0,0,1,0,0,6
onGYisE,0,1,1,1,0,4
CdNeLXDcbZ,0,1,0,0,0,9
bgLGoywa,1,0,0,1,0,6
ATcQksYOB,1,0,0,1,0,7
lijCARsbwt,1,0,1,0,0,8
qynkiv,0,0,1,0,0,5
WCSgcZtmL,0,0,0,0,0,9
UfBuogrvT,0,0,0,1,2,6
fENirPX,0,1,1,0,0,5
jaXyYIg,1,0,1,0,0,5
IzSGxnM,0,0,1,0,0,6
cNSdDPxIM,0,0,1,0,0,8
zdEtpTRO,0,1,0,1,0,6
CQZpIRdPFz,0,0,1,0,0,9
NiIBTRu,0,0,2,0,1,4
gtAFkD,1,0,0,0,0,5
oDlWSTpGOg,0,0,0,2,0,8
kEyCojJ,0,1,0,1,0,5
cEBSRJe,0,2,0,0,0,5
VUixkPpdmX,0,0,1,0,1,8
eUDfsoipb,0,1,1,1,1,5
xDilHqF,0,0,1,0,0,6
PgGqSr,0,0,0,0,0,6
jEvfpe,0,2,0,0,0,4
gFXDmuSy,0,0,0,0,1,7
wvrcKn,0,0,0,0,0,6
iRWKZx,0,0,1,0,0,5
DQMnYJC,0,0,0,0,0,7
wdAYxiS,1,0,1,0,0,5
CMIAeNc,1,1,1,0,0,4
ugSCiPjDb,0,0,1,0,1,7
PBqmds,0,0,0,0,0,6
SVmsFe,0,1,0,0,0,5
TcxflZ,0,0,0,0,0,6
gvaedf,1,1,0,0,0,4
yoLxMcKwCJ,0,0,0,1,0,9
GCvbDsxwq,0,0,0,0,0,9
vQsmzS,0,0,0,0,0,6
nBEtNxmVD,0,1,0,0,0,8
CnhYLNG,0,0,0,0,0,7
WjFuzH,0,0,0,0,1,5
nGNlFAOBd,1,0,0,1,0,7
UGxXRb,0,0,0,0,1,5
pbIMWPie,0,1,2,0,0,5
IqmfHr,0,0,1,0,0,5
QHvFVOkZ,0,0,0,1,0,7
yFHsYAJqMK,1,0,0,0,0,9
RmwfFlytv,0,0,0,0,0,9
cfWTOzPU,0,0,0,1,1,6
KhFzEsUP,0,1,0,0,1,6
